,titre,link,speech_type,prenom,nom,date,theme,fonct,unique_id
0,"Déclaration de Mme Brune Poirson, secrétaire d'État auprès de la ministre de la Transition écologique et solidaire, en réponse à une question sur les conséquences du réchauffement climatique et l'objectif de neutralité carbone d'ici à 2050.",https://www.vie-publique.fr/discours/272458-brune-poirson-3122019-consequences-du-rechauffement-climatique,Déclaration,Brune,Poirson,2019-12-03T12:00:00Z,SOCIÉTÉ,Secrétaire d'Etat auprès du ministre de la transition écologique et solidaire,272458
1,"Déclaration de M. Jean-Michel Blanquer, ministre de l'éducation nationale et de la jeunesse, sur les nouvelles modalités du régime de retraite notamment pour les enseignants, Paris le 3 décembre 2019.",https://www.vie-publique.fr/discours/272635-jean-michel-blanquer-3122019-nouvelles-modalites-du-regime-de-retraite,Déclaration,Jean-Michel,Blanquer,2019-12-03T12:00:00Z,SOCIÉTÉ,Ministre de l'éducation nationale et de la jeunesse,272635
2,"Déclarations de M. Bruno Le Maire, ministre de l'économie et des finances et Mme Marlène Schiappa, secrétaire d'État à l'égalité entre les femmes et les hommes et à la lutte contre les discriminations, sur l'égalité entre les femmes et les hommes dans l'économie, à Paris le 3 décembre 2019.",https://www.vie-publique.fr/discours/272488-bruno-le-maire-03122019-egalite-entre-les-femmes-et-les-hommes,Déclarations,Bruno,Le Maire,2019-12-03T12:00:00Z,SOCIÉTÉ,Ministre de l'économie et des finances Marlène Schiappa,272488
3,"Extraits d'un entretien de M. Jean-Baptiste Lemoyne, secrétaire d'État auprès du ministre de l'Europe et des affaires étrangères, avec Europe 1 le 2 décembre 2019, sur l'intervention militaire au Mali, l'OTAN et les relations entre la France et la Turquie.",https://www.vie-publique.fr/discours/272186-entretien-jean-baptiste-lemoyne-02122019-politique-etrangere,Extraits,Jean-Baptiste,Lemoyne,2019-12-02T12:00:00Z,INTERNATIONAL,Secrétaire d'État auprès du ministre de l'Europe et des affaires étrangères,272186
4,"Interview de M. Jean-Michel Blanquer, ministre de l'éducation nationale et de la jeunesse, à RTL le 2 décembre 2019, sur la rémunération des enseignants et la réforme des retraites.",https://www.vie-publique.fr/discours/272235-jean-michel-blanquer-2122019-reforme-des-retraites-enseignants,Interview,Jean-Michel,Blanquer,2019-12-02T12:00:00Z,SOCIÉTÉ,Ministre de l'éducation nationale et de la jeunesse,272235
5,"Déclaration de M. Emmanuel Macron, président de la République, en hommage aux treize militaires morts pour la France en opération au Mali, à Paris le 2 décembre 2019.",https://www.vie-publique.fr/discours/272165-emmanuel-macron-02122019-france-mali,Déclaration,Emmanuel,Macron,2019-12-02T12:00:00Z,INTERNATIONAL,Président de la République,272165
6,"Déclaration de M. Bruno Le Maire, ministre de l'économie et des finances, sur l'industrie automobile, à Paris le 2 décembre 2019.",https://www.vie-publique.fr/discours/272163-bruno-le-maire-02122019-industrie-automobile,Déclaration,Bruno,Le Maire,2019-12-02T12:00:00Z,ECONOMIE,Ministre de l'économie et des finances,272163
7,"Interview de M. Bruno Le Maire, ministre de l'économie et des finances, à France Inter le 2 décembre 2019, sur la réforme des retraites.",https://www.vie-publique.fr/discours/272162-bruno-le-maire-02122019-retraite,Interview,Bruno,Le Maire,2019-12-02T12:00:00Z,SOCIÉTÉ,Ministre de l'économie et des finances Léa Salame,272162
8,"Interview de M. Julien Denormandie, ministre chargé de la ville et du logement, à Radio Classique le 2 décembre 2019, sur la réforme des retraites.",https://www.vie-publique.fr/discours/272161-julien-denormandie-02122019-retraite,Interview,Julien,Denormandie,2019-12-02T12:00:00Z,SOCIÉTÉ,Ministre chargé de la ville et du logement Guillaume Durand,272161
9,"Déclaration conjointe de la France, de l'Allemagne et du Royaume-Uni sur l'Iran, le 30 novembre 2019.",https://www.vie-publique.fr/discours/272152-ministere-de-leurope-et-des-affaires-etrangeres-30112019-iran,Déclaration,Ministère,de l'Europe et des Affaires étrangères,2019-11-30T12:00:00Z,INTERNATIONAL,,272152
10,"Déclaration de M. Jean-Yves Le Drian, ministre de l'Europe et des affaires étrangères, sur les défis et priorités de la politique étrangère de la France, à l'Assemblée nationale le 29 novembre 2019.",https://www.vie-publique.fr/discours/272487-jean-yves-le-drian-29112019-politique-etrangere,Déclaration,Jean-Yves,Le Drian,2019-11-29T12:00:00Z,INTERNATIONAL,Ministre de l'Europe et des affaires étrangères,272487
11,"Interview de M. Franck Riester, ministre de la culture, à BFMTV le 29 novembre 2019, sur la réforme des retraites et le futur projet de loi de l'audiovisuel.",https://www.vie-publique.fr/discours/272309-franck-riester-29112019-futur-projet-de-loi-de-laudiovisuel,Interview,Franck,Riester,2019-11-29T12:00:00Z,,Ministre de la culture,272309
12,"Interview de M. Jean-Paul Delevoye, haut-commissaire chargé des retraites, délégué auprès de la ministre des solidarités et de la santé, à LCI le 29 novembre 2019, sur les propositions pour la réforme des retraites.",https://www.vie-publique.fr/discours/272380-jean-paul-delevoye-29112019-propositions-pour-la-reforme-des-retraites,Interview,Jean-Paul,Delevoye,2019-11-29T12:00:00Z,SOCIÉTÉ,"Haut-commissaire chargé des retraites, délégué auprès de la ministre des solidarités et de la santé",272380
13,"Déclaration de M. Bruno Le Maire, ministre de l'Economie et des Finances, sur la lutte contre le réchauffement climatique, à Paris le 29 novembre 2019.",https://www.vie-publique.fr/discours/272147-bruno-le-maire-29112019-climat,Déclaration,Bruno,Le Maire,2019-11-29T12:00:00Z,,Ministre de l'économie et des finances,272147
14,"Interview de Mme Agnès Pannier-Runacher, secrétaire d'État auprès du ministre de l'économie et des finances, à France 2 le 29 novembre 2019, sur le Black Friday, la réforme des retraites et les produits made in France.",https://www.vie-publique.fr/discours/272127-agnes-pannier-runacher-29112019-politique-economique,Interview,Agnès,Pannier-Runacher,2019-11-29T12:00:00Z,ECONOMIE,Secrétaire d'État auprès du ministre de l'économie et des finances Guillaume Daret,272127
15,"Interview de M. Olivier Dussopt, secrétaire d'État auprès du ministre de l'action et des comptes publics, à CNews le 28 novembre 2019, sur la réforme des retraites.",https://www.vie-publique.fr/discours/272123-olivier-dussopt-28112019-retraite,Interview,Olivier,Dussopt,2019-11-28T12:00:00Z,SOCIÉTÉ,Secrétaire d'État auprès du ministre de l'action et des comptes publics Gérard Leclerc,272123
16,"Déclaration de Mme Agnès Buzyn, ministre des solidarités et de la santé, sur le virage du numérique dans la santé dans le cadre du plan ""Ma Santé 2022"" et la cybersécurité en santé, à Paris le 28 novembre 2019.",https://www.vie-publique.fr/discours/272300-agnes-buzyn-28112019-ma-sante-2022-cybersecurite,Déclaration,Agnès,Buzyn,2019-11-28T12:00:00Z,SOCIÉTÉ,Ministre des solidarités et de la santé,272300
17,"Interview de Mme Brune Poirson, secrétaire d'État auprès de la ministre de la Transition écologique et solidaire, à RMC le 28 novembre 2019, sur le phénomène du Black Friday et ses projets concernant l'élection municipale.",https://www.vie-publique.fr/discours/272457-brune-poirson-28112019-black-friday-elections-municipales-avignon,Interview,Brune,Poirson,2019-11-28T12:00:00Z,SOCIÉTÉ,Secrétaire d'État auprès de la ministre de la Transition écologique et solidaire,272457
18,"Interview de Mme Élisabeth Borne, ministre de la transition écologique et solidaire, à Europe 1 le 28 novembre 2019, notamment sur les investissements des banques en faveur de la transition écologique, le Black Friday et la réforme des retraites.",https://www.vie-publique.fr/discours/272437-elisabeth-borne-28112019-banques-transition-ecologique-retraites,Interview,Elisabeth,Borne,2019-11-28T12:00:00Z,SOCIÉTÉ,Ministre de la transition écologique et solidaire,272437
19,"Déclaration de M. Emmanuel Macron, président de la République, sur l'OTAN, à Paris le 28 novembre 2019.",https://www.vie-publique.fr/discours/272125-emmanuel-macron-28112019-otan,Déclaration,Emmanuel,Macron,2019-11-28T12:00:00Z,INTERNATIONAL,Président de la République,272125
20,"Déclaration de Mme Annick Girardin, ministre des outre-mer, sur les efforts du gouvernement en faveur de la Guyane, à Cayenne le 28 novembre 2019.",https://www.vie-publique.fr/discours/272144-annick-girardin-28112019-guyane,Déclaration,Annick,Girardin,2019-11-28T12:00:00Z,INSTITUTIONS,Ministre des outre-mer,272144
21,"Déclaration de M. Christophe Castaner, ministre de l'intérieur, sur la lutte contre l'islamisme et le repli communautaire, à Paris le 28 novembre 2019.",https://www.vie-publique.fr/discours/272143-christophe-castaner-28112019-islamisme,Déclaration,Christophe,Castaner,2019-11-28T12:00:00Z,SOCIÉTÉ,Ministre de l'intérieur,272143
