,MC1,MC2,MC3,MC4,MC5,MC6,MC7,MC8,MC9,MC10
0,ENVIRONNEMENT,CLIMAT,,,,,,,,
1,SANTÉ-PROTECTION,SOCIALE,RETRAITE,,,,,,,
2,SOCIÉTÉ-POPULATION,FEMME,,,,,,,,
3,RELATIONS-INTERNATIONALES,POLITIQUE-ÉTRANGÈRE,,,,,,,,
4,SANTÉ-PROTECTION,SOCIALE,RETRAITE,,,,,,,
5,AFRIQUE,MALI,,,,,,,,
6,VIE,ÉCONOMIQUE,INDUSTRIE,AUTOMOBILE,,,,,,
7,SANTÉ-PROTECTION,SOCIALE,RETRAITE,,,,,,,
8,SANTÉ-PROTECTION,SOCIALE,RETRAITE,,,,,,,
9,ASIE,IRAN,,,,,,,,
10,RELATIONS-INTERNATIONALES,POLITIQUE-ÉTRANGÈRE,,,,,,,,
11,PAS,DE,MOTS,CLE,,,,,,
12,SANTÉ-PROTECTION,SOCIALE,RETRAITE,,,,,,,
13,PAS,DE,MOTS,CLE,,,,,,
14,VIE,ÉCONOMIQUE,POLITIQUE-ÉCONOMIQUE,,,,,,,
15,SANTÉ-PROTECTION,SOCIALE,RETRAITE,,,,,,,
16,SANTÉ-PROTECTION,SOCIALE,SOIN,MÉDICAL,SCIENCES-NUMÉRIQUE-I.,A.,TECHNOLOGIE,,,
17,ENVIRONNEMENT,PROTECTION,DE,L'ENVIRONNEMENT,,,,,,
18,ENVIRONNEMENT,PROTECTION,DE,L'ENVIRONNEMENT,,,,,,
19,RELATIONS-INTERNATIONALES,OTAN,,,,,,,,
20,COLLECTIVITÉS,TERRITORIALES,OUTRE-MER,,,,,,,
21,SÉCURITÉ,TERRORISME,,,,,,,,
22,SÉCURITÉ,TERRORISME,,,,,,,,
23,SANTÉ-PROTECTION,SOCIALE,SANTÉ,PUBLIQUE,,,,,,
24,SOCIÉTÉ-POPULATION,MINEUR,,,,,,,,
25,SÉCURITÉ,VIOLENCE,SOCIÉTÉ-POPULATION,FEMME,,,,,,
26,AFRIQUE,MALI,,,,,,,,
27,SÉCURITÉ,TERRORISME,RELATIONS-INTERNATIONALES,POLITIQUE-ÉTRANGÈRE,,,,,,
28,SANTÉ-PROTECTION,SOCIALE,RETRAITE,,,,,,,
29,VIE,ÉCONOMIQUE,POLITIQUE-AGRICOLE,,,,,,,
30,RELATIONS-INTERNATIONALES,POLITIQUE-ÉTRANGÈRE,,,,,,,,
31,AFRIQUE,MALI,,,,,,,,
32,EDUCATION-RECHERCHE,INNOVATION,,,,,,,,
33,VIE,ÉCONOMIQUE,TOURISME,,,,,,,
34,RELATIONS-INTERNATIONALES,COOPÉRATION,,,,,,,,
35,AFRIQUE,MALI,,,,,,,,
36,EDUCATION-RECHERCHE,POLITIQUE-DE,LA,RECHERCHE,,,,,,
37,AFRIQUE,MALI,,,,,,,,
38,SOCIÉTÉ-POPULATION,SITUATION,SOCIALE,,,,,,,
39,PAS,DE,MOTS,CLE,,,,,,
40,JUSTICE-DROITS,FONDAMENTAUX,DROITS,DE,L'HOMME,RELATIONS-INTERNATIONALES,POLITIQUE-ÉTRANGÈRE,,,
41,EDUCATION-RECHERCHE,ENSEIGNEMENT,PUBLIC,,,,,,,
42,JUSTICE-DROITS,FONDAMENTAUX,PRISON,,,,,,,
43,RELATIONS-INTERNATIONALES,POLITIQUE-ÉTRANGÈRE,,,,,,,,
44,JUSTICE-DROITS,FONDAMENTAUX,POLITIQUE-JUDICIAIRE,,,,,,,
45,PAS,DE,MOTS,CLE,,,,,,
46,SANTÉ-PROTECTION,SOCIALE,RETRAITE,,,,,,,
47,SANTÉ-PROTECTION,SOCIALE,RETRAITE,,,,,,,
48,ENVIRONNEMENT,POLITIQUE-DE,L'ENVIRONNEMENT,,,,,,,
49,ENVIRONNEMENT,DÉVELOPPEMENT,DURABLE,,,,,,,
50,SCIENCES-NUMÉRIQUE-I.,A.,INTERNET,,,,,,,
51,SÉCURITÉ,VIOLENCE,SOCIÉTÉ-POPULATION,FEMME,,,,,,
52,SOCIÉTÉ-POPULATION,SITUATION,SOCIALE,,,,,,,
53,EDUCATION-RECHERCHE,SCOLARITÉ,,,,,,,,
54,SANTÉ-PROTECTION,SOCIALE,RETRAITE,,,,,,,
55,INSTITUTIONS-DE-L'ETAT,POLITIQUE-GOUVERNEMENTALE,,,,,,,,
56,SÉCURITÉ,TERRORISME,,,,,,,,
57,ECONOMIE,INTERNATIONALE,COMMERCE,INTERNATIONAL,,,,,,
58,FINANCES,PUBLIQUES,BUDGET,DE,L'ETAT,,,,,
59,FINANCES,PUBLIQUES,BUDGET,DE,L'ETAT,,,,,
60,INSTITUTIONS-DE-L'ETAT,POLITIQUE-GOUVERNEMENTALE,,,,,,,,
61,SANTÉ-PROTECTION,SOCIALE,HÔPITAL,,,,,,,
62,EDUCATION-RECHERCHE,FORMATION,,,,,,,,
63,CULTURE-MÉDIAS,PRESSE,SCIENCES-NUMÉRIQUE-I.,A.,INTERNET,,,,,
64,EUROPE,MACÉDOINE,DU,NORD,,,,,,
65,ENVIRONNEMENT,POLITIQUE-DE,L'ENVIRONNEMENT,ENERGIE-TRANSPORTS,POLITIQUE-DES,TRANSPORTS,,,,
66,SANTÉ-PROTECTION,SOCIALE,RETRAITE,,,,,,,
67,SANTÉ-PROTECTION,SOCIALE,HÔPITAL,RETRAITE,,,,,,
68,VILLE-TERRITOIRES,AMÉNAGEMENT,DU,TERRITOIRE,COLLECTIVITÉS,TERRITORIALES,COLLECTIVITÉ,LOCALE,,
69,SANTÉ-PROTECTION,SOCIALE,SANTÉ,PUBLIQUE,,,,,,
70,SOCIÉTÉ-POPULATION,JEUNE,,,,,,,,
71,SOCIÉTÉ-POPULATION,SPORT,,,,,,,,
72,SANTÉ-PROTECTION,SOCIALE,RETRAITE,,,,,,,
73,SANTÉ-PROTECTION,SOCIALE,POLITIQUE-SOCIALE,,,,,,,
74,SANTÉ-PROTECTION,SOCIALE,RETRAITE,,,,,,,
75,UNION-EUROPÉENNE,CONSTRUCTION-EUROPÉENNE,,,,,,,,
76,PAS,DE,MOTS,CLE,,,,,,
77,SOCIÉTÉ-POPULATION,FEMME,,,,,,,,
78,JUSTICE-DROITS,FONDAMENTAUX,DROIT,,,,,,,
79,INSTITUTIONS-DE-L'ETAT,POLITIQUE-GOUVERNEMENTALE,,,,,,,,
80,SOCIÉTÉ-POPULATION,MINEUR,,,,,,,,
81,DÉFENSE,POLITIQUE-DE,LA,DÉFENSE,,,,,,
82,SANTÉ-PROTECTION,SOCIALE,HÔPITAL,,,,,,,
83,ECONOMIE,INTERNATIONALE,COMMERCE,INTERNATIONAL,,,,,,
84,VILLE-TERRITOIRES,AMÉNAGEMENT,DU,TERRITOIRE,ENERGIE-TRANSPORTS,POLITIQUE-DES,TRANSPORTS,,,
85,VIE,ÉCONOMIQUE,POLITIQUE-ÉCONOMIQUE,,,,,,,
86,UNION-EUROPÉENNE,CONSTRUCTION-EUROPÉENNE,,,,,,,,
87,EDUCATION-RECHERCHE,INNOVATION,,,,,,,,
88,UNION-EUROPÉENNE,CONSTRUCTION-EUROPÉENNE,,,,,,,,
89,ENERGIE-TRANSPORTS,SÉCURITÉ,ROUTIÈRE,,,,,,,
90,SÉCURITÉ,TERRORISME,,,,,,,,
91,VILLE-TERRITOIRES,AMÉNAGEMENT,DU,TERRITOIRE,,,,,,
92,COLLECTIVITÉS,TERRITORIALES,COLLECTIVITÉ,LOCALE,,,,,,
93,ENERGIE-TRANSPORTS,TRANSPORT,EN,COMMUN,,,,,,
94,COLLECTIVITÉS,TERRITORIALES,COLLECTIVITÉ,LOCALE,,,,,,
95,EDUCATION-RECHERCHE,POLITIQUE-DE,L'ENSEIGNEMENT,,,,,,,
96,SANTÉ-PROTECTION,SOCIALE,RETRAITE,,,,,,,
